201507,5,2,2,0,3,5,0,1,0,1,0,0,0,0,4,1
201507,9,4,4,1,10,7,1,2,0,0,0,2,0,0,4,1
201507,19,5,1,1,14,13,1,3,0,0,0,2,0,0,5,1
201507,8,1,0,2,4,9,1,0,0,0,0,1,0,0,1,0
201506,11,1,5,1,6,7,1,1,0,0,0,0,0,0,0,0
201506,17,2,3,0,11,12,3,0,1,0,0,1,0,0,4,0
201506,9,2,4,2,4,10,0,1,0,0,0,1,0,0,1,0
201506,6,5,4,1,7,7,1,1,0,1,0,2,0,10,2,1
201506,13,1,5,0,7,11,0,0,1,0,0,0,0,0,2,1
201509,19,2,1,2,8,15,1,0,0,0,0,2,0,0,0,0
201509,11,2,1,2,6,9,1,1,0,0,1,0,0,0,3,0
201509,5,1,3,1,3,3,1,0,0,0,0,1,0,0,2,0
201509,19,3,4,1,14,12,0,2,0,1,0,0,0,0,4,0
201508,10,0,3,1,6,6,1,0,0,0,0,0,0,0,4,1
201508,6,4,2,2,8,6,1,1,0,0,0,3,0,0,2,0
201508,10,0,7,1,7,4,0,0,0,0,0,0,0,0,1,1
201508,7,4,2,1,8,6,0,2,0,0,0,2,0,0,0,3
201503,14,7,5,0,11,12,1,5,0,0,0,0,1,1,6,2
201503,15,3,5,1,7,13,2,1,1,0,0,1,0,0,4,3
201503,19,5,5,0,9,18,1,1,1,0,0,2,1,0,3,1
201503,13,2,8,0,10,7,0,1,0,0,0,1,0,0,4,1
201502,23,7,16,3,20,19,1,5,0,0,0,3,-1,0,28,5
201502,3,1,14,2,3,1,0,0,0,0,0,1,0,0,13,3
201502,22,1,3,1,9,11,0,0,1,0,0,0,0,0,6,1
201505,12,3,7,0,8,11,2,2,0,0,0,1,0,0,7,0
201505,12,3,7,0,8,11,2,2,0,0,0,1,0,0,7,0
201505,22,2,6,0,12,14,3,1,0,0,0,1,0,0,3,2
201504,20,4,1,2,9,16,2,2,0,0,0,2,0,0,8,0
201504,7,2,3,2,5,6,0,1,0,0,0,1,0,0,2,0
201504,19,4,3,0,9,16,1,2,0,0,0,2,0,0,0,0
201504,13,5,4,3,9,13,1,2,0,0,1,2,0,0,3,2
201504,6,3,4,1,6,5,1,2,0,0,0,1,0,0,10,3
201510,11,2,1,1,1,13,0,0,1,1,0,0,0,0,1,0
201510,17,7,4,0,18,9,1,4,1,1,1,0,0,0,2,1
201510,19,0,0,1,7,15,0,0,0,0,0,0,0,0,0,0
201510,10,0,2,1,4,6,1,0,0,0,0,0,0,0,2,1
201501,83,47,58,17,82,75,9,14,5,1,1,23,1,2,89,24
201501,20,11,26,4,21,19,0,7,1,0,0,3,0,0,33,12
201501,44,16,25,6,34,40,5,4,1,2,1,8,0,0,26,8
201501,37,11,13,8,26,34,1,4,0,1,0,5,1,0,23,6
201512,10,1,2,0,5,6,2,1,0,0,0,0,0,0,2,0
201512,23,4,0,0,17,15,1,3,0,0,0,1,0,0,0,0
201512,21,0,0,0,9,15,3,0,0,0,0,0,0,0,1,1
201512,10,1,2,0,8,13,0,1,0,0,0,0,0,0,0,0
201412,494,204,155,60,286,415,42,91,6,10,3,82,7,5,135,32
201412,29,17,31,7,34,26,6,10,0,0,0,5,2,0,27,16
201511,12,2,2,0,8,9,0,0,0,0,0,2,0,0,0,0
201511,12,0,0,2,5,11,0,0,0,0,0,0,0,0,0,0
201511,29,2,0,0,19,12,2,1,0,0,0,1,0,0,0,0
201511,9,1,0,0,5,5,2,1,0,0,0,0,0,0,0,0
